Chapter,Institution,Location,District,Charter Date,Status,Lat,Long
Gamma Omega,Texas Southern University,"Houston, Texas",Southwest,"May 22, 1957",Active,29.7589382,-95.3676974
Delta Alpha,Langston University,"Langston, Oklahoma",Southwest,"May 19, 1957",Active,35.9450505,-97.2553142
Delta Beta,Baldwin–Wallace College,"Berea, Ohio",North Central,"November 17, 1957",Inactive,41.3661614,-81.8543026
Delta Gamma,Missouri University of Science and Technology,"Rolla, Missouri",Midwest,"March 9, 1958",Active,37.9509324,-91.7708076
Delta Delta,Arkansas Tech University,"Russellville, Arkansas",Southwest,"March 14, 1958",Inactive,35.2784173,-93.1337856
Delta Epsilon,Samford University,"Birmingham, Alabama",Southeast,"May 6, 1958",Inactive,33.5206824,-86.8024326
Delta Zeta,Cornell University,"Ithaca, New York",Northeast,"March 18, 1959",Inactive,42.4396039,-76.4968019
Delta Eta,Pittsburg State University,"Pittsburg, Kansas",Midwest,"April 12, 1959",Inactive,37.4108841,-94.70496
Delta Theta,Jacksonville University,"Jacksonville, Florida",Southeast,"May 2, 1959",Inactive,30.3321838,-81.655651
Delta Iota,Florida A&M University,"Tallahassee, Florida",Southeast,"May 26, 1960",Inactive,30.4380832,-84.2809332
Delta Kappa,South Dakota State University,"Brookings, South Dakota",Midwest,"May 14, 1961",Inactive,44.311461,-96.79844
Delta Lambda,Eastern Washington University,"Cheney, Washington",Western,"August 25, 1961",Inactive,47.4873895,-117.5757676
Delta Mu,Humboldt State University,"Arcata, California",Western,"January 6, 1962",Inactive,40.866517,-124.08284
Delta Nu,University of Charleston,"Charleston, West Virginia",Northeast,"January 7, 1962",Inactive,38.3505995,-81.6332812
Delta Xi,Emporia State University,"Emporia, Kansas",Midwest,"April 6, 1962",Active,38.4040054,-96.181623
Delta Omicron,University of Connecticut,"Storrs, Connecticut",Northeast,"May 19, 1962",Active,41.8084314,-72.2495231
Delta Pi,Mississippi Valley State University,"Itta Bena, Mississippi",Southeast,"May 5, 1962",Active,33.49512,-90.3198067
Delta Rho,Arkansas State University,"Jonesboro, Arkansas",Southwest,"March 7, 1964",Inactive,35.8428646,-90.7034522
Delta Sigma,University of Texas at Arlington,"Arlington, Texas",Southwest,"March 15, 1964",Active,32.701939,-97.105624826688
Delta Tau,Adams State College,"Alamosa, Colorado",Midwest,"May 16, 1964",Inactive,37.469877,-105.8696009
Delta Upsilon,Eastern Michigan University,"Ypsilanti, Michigan",North Central,"May 16, 1965",Active,42.2410562,-83.613055
Delta Phi,Xavier University,"Cincinnati, Ohio",North Central,"October 9, 1965",Inactive,39.1014537,-84.5124602
Delta Chi,Southern Arkansas University,"Magnolia, Arkansas",Southwest,"February 12, 1966",Active,33.2670725,-93.2393341
Delta Psi,Prairie View A&M University,"Prairie View, Texas",Southwest,"April 17, 1966",Active,30.0857916,-95.9907058
Delta Omega,Ferris State University,"Big Rapids, Michigan",North Central,"May 22, 1966",Active,43.698078,-85.483656
Epsilon Alpha,University of Arkansas at Little Rock,"Little Rock, Arkansas",Southwest,"February 17, 1967",Inactive,34.7464809,-92.2895948
Epsilon Beta,University of Central Arkansas,"Conway, Arkansas",Southwest,"February 17, 1967",Active,35.0886963,-92.4421011
Epsilon Gamma,Alabama State University,"Montgomery, Alabama",Southeast,"April 8, 1967",Inactive,32.3669656,-86.3006485
Epsilon Delta,Texas A&M University–Kingsville,"Kingsville, Texas",Southwest,"May 13, 1967",Active,27.5158689,-97.856109
Epsilon Epsilon,Southwestern Oklahoma State University,"Weatherford, Oklahoma",Southwest,"May 26, 1967",Active,35.5261633,-98.7075744
Epsilon Zeta,Oklahoma Baptist University,"Shawnee, Oklahoma",Southwest,"May 23, 1967",Active,35.3272928,-96.9253004
Epsilon Eta,Western State College,"Gunnison, Colorado",Midwest,"May 21, 1967",Inactive,38.5458246,-106.9253207
Epsilon Theta,University of Louisiana at Monroe,"Monroe, Louisiana",Southwest,"April 20, 1968",Active,32.5093109,-92.1193012
Epsilon Iota,Mansfield University of Pennsylvania,"Mansfield, Pennsylvania",Northeast,"October 6, 1968",Active,41.805687,-77.0792881
Epsilon Kappa,Angelo State University,"San Angelo, Texas",Southwest,"December 6, 1968",Active,31.4648357,-100.4398442
Epsilon Lambda,Western Carolina University,"Cullowhee, North Carolina",Southeast,"February 23, 1969",Active,35.3137739,-83.1765814
Epsilon Mu,Wayland Baptist University,"Plainview, Texas",Southwest,"May 16, 1969",Inactive,34.1847936,-101.7068417
Epsilon Nu,University of Massachusetts Amherst,"Amherst, Massachusetts",Northeast,"May 16, 1969",Active,42.3803676,-72.523143
Epsilon Xi,Miami University,"Oxford, Ohio",North Central,"March 13, 1970",Active,39.5103048,-84.7420519
Epsilon Omicron,Wagner College,"Staten Island, New York",Northeast,"March 22, 1970",Inactive,40.5834557,-74.1496048
